ufo_id,location
8480,"['Tracy (Gravel or construction area', ' dead end road)', ' CA', ' USA']"
8508,"['Pennsylvania (30', ' 000 ft. above on coast)', ' PA', ' USA']"
8519,"['Ferndale (near', ' countryside)', ' WA', ' USA']"
8547,"['Trona (near', ' SR-395)', ' CA', ' USA']"
8554,"['Alamosa (east of', ' on Hwy 160)', ' CO', ' USA']"
8572,"['Paddock Lake (rural area', ' approx. 4mi. north)', ' WI', ' USA']"
8654,"['Washington', ' D.C.', ' DC', ' USA']"
8663,"['Bishop (south of', ' Hwy 395)', ' CA', ' USA']"
8740,"['Rochester (3 miles east of', ' Hwy 12 W)', ' WA', ' USA']"
8769,"['Renton (NE of', ' approx. 5 miles)', ' WA', ' USA']"
8775,"['Virginia (while driving on I-95;  2 hrs S of Wash.', ' D.C.)', ' VA', ' USA']"
8818,"['Merritt Island Wildlife Refuge (Kennedy Space Center)', ' Flori', ' FL', ' USA']"
8834,"['Crisp Point (on Lake Superior', ' 25 mi. NW of Paradise)', ' MI', ' USA']"
8866,"['Camp Ripley (rural', ' just west of)', ' MN', ' USA']"
9450,"['Chicago (xxxx W 55 St.', ' by Midway Airport)', ' IL', ' USA']"
9457,"['Interstate between C. Girardeau', ' MO & Cairo', ' IL', ' MO', ' USA']"
9517,"['Northern California (16', ' 500 ft over Sierra Mountains)', ' CA', ' USA']"
9523,"['Gila Bend (20 miles east of', ' on I-8)', ' AZ', ' USA']"
9581,"['Sector el Brujo', ' Cabo Rojo (Puerto Rico)', ' PR', ' USA']"
9585,"['Ocoee', ' FL but reported on radio as far south as Lake Wales', ' FL', ' USA']"
9588,"['Poinciana', ' Lake Wales', ' Lake Helen', ' Kissimmee', ' FL', ' USA']"
9594,"['Colorado Springs (north of', ' on I-25)', ' CO', ' USA']"
9602,"['Kingman (About 20 miles', ' NW of o the w of hyw 93)', ' AZ', ' USA']"
9608,"['Lake Trinity (Aprox. 30 miles north of Redding', ' CA)', ' CA', ' USA']"
9628,"['Grand View (near', ' remote location in N. Wisconsin)', ' WI', ' USA']"
