ufo_id,location
17789,"Shiraz (Iran), Iran"
17794,"Dublin (Republic of Ireland), Ireland"
17847,"Rosita  (leaving; coh.Mexico), Mexico"
17884,"Wrexham (UK/England), United Kingdom"
17887,"Kapiti Coast (New Zealand), New Zealand"
17908,"Odzaci (Yugoslavia), Yugoslavia"
17972,"Carlisle (UK/England), United Kingdom"
17983,"Gainsborough (UK/England), United Kingdom"
18002,"Skelmanthorpe (UK/England), United Kingdom"
18069,"Glasgow (UK/Scotland), United Kingdom"
18082,"Dublin (Republic of Ireland), Ireland"
18090,"Wigan (UK/England), United Kingdom"
18112,"Leamington Spa (UK/England), United Kingdom"
18142,"Simonstown (South Africa), South Africa"
18153,"Haninge (Sweden), Sweden"
18156,"Basingstoke (UK/England), United Kingdom"
18215,"Dublin (Republic of Ireland), Ireland"
18234,"Churchable  (Australia), Australia"
18241,"Tunbridge Wells (UK/England), United Kingdom"
18249,"Hemel Hempstead (UK/England), United Kingdom"
18255,"Middlesborough (UK/England), United Kingdom"
18315,"Weston-super-Mare (UK/England), United Kingdom"
18332,"Bellside/Wishaw (UK/Scotland), United Kingdom"
18444,"Maiduguri (Nigeria), Nigeria"
18481,"Derry (Republic of Ireland), Ireland"
18494,"Eynsham (UK/England), United Kingdom"
18524,"Hull (UK/England), United Kingdom"
18578,"Addlestone (near Heathrow Airport) (UK/England), United Kingdom"
18588,"Aschersleben (Germany), Germany"
18618,"Berellan (Australia), Australia"
18705,"Hamilton (UK/Scotland), United Kingdom"
18752,"Whitchurch (UK/England), United Kingdom"
18768,"Hong Kong from Bangkok (flight to), Thailand"
18772,"Norwich (UK/England), United Kingdom"
18775,"Mazarron (Spain), Spain"
18823,"Worthing (UK/England), United Kingdom"
18865,"Ross (Tasmania) (Australia), Australia"
18879,"London (NE) (UK/England), United Kingdom"
18890,"Hokitika (New Zealand), New Zealand"
18919,"Zwevegem (Belgium), Belgium"
18924,"Worcestershire (UK/England), United Kingdom"
18974,"Mexico (in jungle), Mexico"
19006,"Stirling (UK/Scotland), United Kingdom"
19016,"Newmarket (UK/England), United Kingdom"
19026,"Norfolk/Sizewell (UK/England), United Kingdom"
19041,"Rawtenstall (UK/England), United Kingdom"
19042,"Sutton (UK/England), United Kingdom"
19184,"Bognor (UK/England), United Kingdom"
